start,duration
1023689234,358
1023695373,316
1023700456,320
1023939318,309
1023946984,320
1023953479,316
1027509535,6183
1027520086,318
1027874902,323
1027879436,325
1027884756,319
1029022497,318
1029025804,323
1029030532,319
1029127657,319
1029131850,316
1031509538,3673
1032328234,315
1032331476,322
1032336492,325
1032387180,319
1032391154,314
1032393270,319
1032395367,319
1032400387,309
1032514687,321
1032517612,321
1032521911,341
1032749289,319
1032754322,322
1032759535,315
1033653328,314
1033656340,320
1033660655,317
1033840704,316
1033865010,321
1033873584,318
1033879138,314
1035509539,5611
1035518710,314
1036273074,315
1036278160,321
1036284312,331
1036500189,312
1036503182,322
1036508101,325
1037119716,327
1037123480,326
1037128235,322
1039377444,316
1039380177,318
1039384980,315
1039509552,3917
1040559855,320
1040562834,326
1040567827,316
1040675869,323
1040679633,332
1041283225,321
1041286521,316
1041290698,318
1041555499,318
1041561566,318
1041567316,316
1043509526,4442
1043516916,317
1043850745,322
1043853771,320
1043858898,318
1044346499,320
1044349501,319
1044354198,320
1044481664,309
1044493906,314
1044519634,317
1044539505,321
1044547603,318
1044554154,314
1045033873,317
1045037386,310
1045042634,323
1045170674,320
1045174105,309
1046865558,315
1046868301,322
1046872546,317
1047227213,321
1047230174,316
1047234371,315
1047373519,309
1047377164,308
1047509556,7534
1047520261,317
1047598406,331
1047601619,324
1047610300,316
1047761845,319
1047768854,321
1047778062,323
1051509564,4216
1055509546,3160
1059509552,3231
1063509527,2998
1067509530,13441
1071509548,3551
1075509542,2953
1079509531,5778
1079528804,8790
1079546001,316
1083509520,3752
1087509531,3198
1091509544,3043
1095509538,2923
1099509549,3138
1103509539,7600
1107509542,3149
1111509548,2985
1115509535,3274
1119509552,3178
1123509541,3439
1125658213,318
1125664316,322
1125670912,318
1125811493,314
1125819110,320
1125826887,337
1125833156,320
1126063633,318
1126069531,339
1126074799,322
1127509536,4170
1130146917,322
1130150553,336
1130155559,330
1130269923,318
1130281240,321
1130298360,316
1130324490,324
1130327009,316
1130333695,319
1130342585,318
1130349837,321
1131015406,318
1131179407,321
1131509541,5754
1133819252,315
1133824375,322
1133830248,314
1134991480,329
1134994479,320
1134998762,322
1135094436,314
1135098449,319
1135259151,315
1135263374,318
1135268024,325
1135509551,4728
1135517803,316
1137292723,319
1137294879,322
1137302461,317
1137315546,325
1137320127,322
1137320967,316
1137341705,324
1137343384,313
1137351944,314
1138732509,316
1138737697,322
1138743590,316
1139055392,316
1139065778,322
1139068247,320
1139070065,320
1139071810,320
1139081431,321
1139093190,316
1139509535,7342
1140344696,319
1141411225,314
1141608585,316
1141750877,318
1141953821,318
1142075633,316
1142144248,322
1142240374,318
1142307213,323
1142371540,314
1142441985,319
1142541453,318
1142617928,319
1142707191,321
1142780561,320
1142840264,319
1142923986,322
1142988739,315
1143071277,321
1143135245,322
1143262050,323
